# case	disease	pipeline_name	pipeline_version	timestamp	C3Y	DCC_path	filesize	file_format	md5sum	sample_name	sample_uuid
C3L-00923	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00923.maf.gz	18357866	MAF	1f0a5b1c72898d3e9a994c4f505c9ecb	C3L-00923.WXS.N.hg38	4a059854-cff6-4dba-a57b-83aed6d94595
C3L-00923	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00923.singleCaller.fixedHeader.vcf.gz	12129436	VCF	7826cc3aeafd20d28d96f614edcc8acf	C3L-00923.WXS.N.hg38	4a059854-cff6-4dba-a57b-83aed6d94595
C3L-00927	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00927.maf.gz	21279675	MAF	bd811fc939fdd369e14ca967998faf4b	C3L-00927.WXS.N.hg38	ca299aae-7e7f-4ea7-a08f-9025151ccbd4
C3L-00927	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00927.singleCaller.fixedHeader.vcf.gz	14871148	VCF	9c799caf24e4c9928a4f56b28b361490	C3L-00927.WXS.N.hg38	ca299aae-7e7f-4ea7-a08f-9025151ccbd4
C3L-00965	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00965.maf.gz	20686025	MAF	48540aec50dc8dfb9bd5d1dc98edbb06	C3L-00965.WXS.N.hg38	b482fcb7-3eed-4ae7-949f-51438a7a2f53
C3L-00965	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00965.singleCaller.fixedHeader.vcf.gz	13317439	VCF	95845553c649d2014f2905d1ae5daa42	C3L-00965.WXS.N.hg38	b482fcb7-3eed-4ae7-949f-51438a7a2f53
C3L-00993	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00993.maf.gz	19040921	MAF	b2eda22129847a6ce9352e23badfb6f1	C3L-00993.WXS.N.hg38	d018d51f-b828-424a-ad81-074aa8e5ae61
C3L-00993	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00993.singleCaller.fixedHeader.vcf.gz	13448967	VCF	978d6e24303cda6fae1d0b9323f26af0	C3L-00993.WXS.N.hg38	d018d51f-b828-424a-ad81-074aa8e5ae61
C3L-01000	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-01000.maf.gz	24438196	MAF	1798f3048fc3d400dd1efa5069db4e04	C3L-01000.WXS.N.hg38	a75e05d6-84aa-404a-a7e6-23e76a4fdc89
C3L-01000	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-01000.singleCaller.fixedHeader.vcf.gz	14241382	VCF	b2ae6e7dd15f2ac80f10c2712d9582b2	C3L-01000.WXS.N.hg38	a75e05d6-84aa-404a-a7e6-23e76a4fdc89
